,Data
0,"Homemade Cupcake Jars Perfect for Any Occasion - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. LOVE Freshly baked, ready to eat cupcakes in a jar. At first bite. The Punkin All the rich, warm spices and aromas of fall wrapped into our pumpkin spice cake, complimented with our newest buttercream that includes hints of vanilla and cinnamon, rounded out with an aromatic nutmeg, that you will FALL in love with! Soy Based Candles Soy Based Candles $ 30 One-of-a-kind Treats Perfect for Any Occasion Our ready-to-eat Paisley & Dash cupcake jars are generously filled right to the top! Beautiful layer upon layer of the perfect combination of cupcake + frosting. With a variety of flavors to pick from, one jar (alright maybe two!!) is sure to satisfy your sweet tooth right into a sugar coma. PRESS: Featured in Standard Size Gift of One Choose from our three delectable flavors for this memorable gift for one (including signature box). $ 12 Shop Half-Dozen Six scrumptious cupcake jars with your choice of flavor combinations. $ 53 Shop Gift of Two Guilty pleasure...or a treat for two? Your delicious treats come in an elegant black box. $ 23 Shop Dozen Mix and match 12 delicious cupcakes to suit your sweet tooth. $ 99 Shop Gift of Four Your choice of four delicious cupcake jars beautifully packaged in our signature box. $ 41 Shop Gift of Four Mother's Day Special Edition Our Tiffany-Box-Blue special edition for the Mother in your life. Your choice of four delicious cupcake jars beautifully packaged in our signature box. $ 41 Shop For orders over 10 dozen, please contact us Sara Owner Find the Simple Things to Celebrate From corporate events to birthday parties, our cupcake jars are the perfect treat for making sweet memories. FRESH INGREDIENTS All of our products are made with the finest quality ingredients and guaranteed fresh. SIGNATURE HAND-PACKAGING We offer individually wrapped jars in our black box, wrapped in bakers twine, and topped with spoons. To make it extra sweet, we're happy to include a personal message! DELICIOUS ON DELIVERY Our cupcakes are as delicious arriving at your door as they were when we pulled them out of the oven. All jars are shipped within 2 days of order date. Praise for Paisley & Dash Excellent service, shipped quickly and arrived beautifully packaged! Perfect gift. Thank you!! Mandi I ordered 14 of these sweet little goodness cupcakes in a jar from Sara on short notice for Thanksgiving. She had them ready to go in no time flat and they were delicious!!! Thanks Sara Paisley & Dash! Jennifer The BEST cupcakes ever and the personal touch is over the top!! Julie Sara helped me with some sweet treats for my bridesmaids-to-be. It was such an awesome treat to help with my bridesmaid proposals and they were super cute. All the girls thought they were so tasty and loved the idea. Thanks Sara for helping with that. Everyone loved the idea and even more loved every last bite! Emilie Every bite was delicious! Everyone one I shared with thought the same, too. Super fast shipping and beautiful packaging! The best baker around! Hayley OMG the treats are to die for. So yummy!!! I can’t wait to hand them out as gifts!! Jodi Three Delightful Flavors to Choose From Mix and match from our fan-favorite selections. The Scarlet Sinfully-sweet red velvet cake with a subtle hint of chocolate, topped off with luscious almond buttercream frosting. The Dash Rich chocolate cake with silky almond buttercream frosting. An irresistible treat for chocolate lovers of all ages! The Paisley Decadent, tender white cake topped with creamy almond buttercream frosting. A must-have, perfect party cupcake for any occasion. Copyright © 2019 Milingona. All Rights Reserved."
1,Cart - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Cart Shop Cart Your cart is currently empty. Return to shop Copyright © 2019 Milingona. All Rights Reserved.
2,"Shop - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Home Shop Shop Standard Size Gift of One Choose from our three delectable flavors for this memorable gift for one (including signature box). $ 12 Shop Half-Dozen Six scrumptious cupcake jars with your choice of flavor combinations. $ 48 Shop Gift of Two Guilty pleasure...or a treat for two? Your delicious treats come in an elegant black box. $ 20 Shop Dozen Mix and match 12 delicious cupcakes to suit your sweet tooth. $ 96 Shop Gift of Four Your choice of four delicious cupcake jars beautifully packaged in our signature box. $ 38 Shop Custom (12 or More) A custom order freshly baked for your special event. Orders must be in increments of 6. Shop For orders over 10 dozen, please contact us Copyright © 2019 Milingona. All Rights Reserved."
3,"Punkin - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop Singles Punkin Punkin$13.00 All the rich, warm spices and aromas of fall wrapped into our pumpkin spice cake, complimented with our newest buttercream that includes hints of vanilla and cinnamon, rounded out with an aromatic nutmeg, that you will FALL in love with! Available in our Gift of Four, Gift of Two, Gift of One, as well as quantities of Dozen and Half Dozen. Punkin quantity Add to cart Category: Singles Related products Check out some of our similar products Paisley Singles, Standard $12.00 Dash Singles, Standard $12.00 Scarlet Singles $12.00 Paisley Singles $12.00 All the rich, warm spices and aromas of fall wrapped into our pumpkin spice cake, complimented with our newest buttercream that includes hints of vanilla and cinnamon, rounded out with an aromatic nutmeg, that you will FALL in love with! Available in our Gift of Four, Gift of Two, Gift of One, as well as quantities of Dozen and Half Dozen. Copyright © 2019 Milingona. All Rights Reserved."
4,"Soy Candle - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop Soy Candles Soy Candle Soy Candle$30.00 La douillettes :: ‘coziness’ Our 8 ounce soy candle, hand-poured, with a rich wintry scent is sure to cozy up your space. Nestled in our stunning matte black vessel, with an inner gold chrome that reveals beautifully with each burn. Soy Candle quantity Add to cart Category: Soy Candles Soy Based Candle. Hand Poured in Fargo, ND Copyright © 2019 Milingona. All Rights Reserved."
5,"Gift of One - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop GiftboxStandard Gift of One Gift of One$12.00 Choose from our three delectable flavors for this memorable gift for one (includes our signature box). Select your flavors below Product Quantity Scarlet Add 1 Scarlet Paisley Add 1 Paisley Dash Add 1 Dash Double Stuffed Add 1 Double Stuffed Clear selections Please select 1 item to continue… Gift of One quantity Add to cart Categories: Giftbox, Standard Related products Check out some of our similar products Paisley and Dash Half-Dozen Standard $53.00 Gift of Four Giftbox, Standard $41.00 Dash Singles, Standard $12.00 The Double Stuffed Standard $13.00 Copyright © 2019 Milingona. All Rights Reserved."
6,"Paisley and Dash Half-Dozen - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop Standard Paisley and Dash Half-Dozen Paisley and Dash Half-Dozen$53.00 Six scrumptious cupcake jars with your choice of flavor combinations. Select your flavors below Product Quantity Scarlet Scarlet quantity Paisley Paisley quantity Dash Dash quantity Double Stuffed Double Stuffed quantity Clear selections Please select 6 items to continue… Paisley and Dash Half-Dozen quantity Add to cart Category: Standard Related products Check out some of our similar products Scarlet Singles, Standard $12.00 Paisley and Dash Dozen Standard $99.00 The Double Stuffed Standard $13.00 Paisley Singles, Standard $12.00 Copyright © 2019 Milingona. All Rights Reserved."
7,"Gift of Two - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop GiftboxStandard Gift of Two Gift of Two$23.00 Guilty pleasure…or a treat for two? Your delicious treats come in our elegant signature box. Select your flavors below Product Quantity Scarlet Scarlet quantity Paisley Paisley quantity Dash Dash quantity Double Stuffed Double Stuffed quantity Clear selections Please select 2 items to continue… Gift of Two quantity Add to cart Categories: Giftbox, Standard Related products Check out some of our similar products Scarlet Singles, Standard $12.00 The Double Stuffed Standard $13.00 Paisley and Dash Half-Dozen Standard $53.00 Mother’s Day Gift of Four Giftbox, Standard $41.00 Copyright © 2019 Milingona. All Rights Reserved."
8,"Paisley and Dash Dozen - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop Standard Paisley and Dash Dozen Paisley and Dash Dozen$99.00 Mix and match 12 delicious cupcakes to suit your sweet tooth. Select your flavors below Product Quantity Scarlet Scarlet quantity Paisley Paisley quantity Dash Dash quantity Double Stuffed Double Stuffed quantity Clear selections Please select 12 items to continue… Paisley and Dash Dozen quantity Add to cart Category: Standard Related products Check out some of our similar products Paisley and Dash Half-Dozen Standard $53.00 Gift of One Giftbox, Standard $12.00 Mother’s Day Gift of Four Giftbox, Standard $41.00 Scarlet Singles, Standard $12.00 Copyright © 2019 Milingona. All Rights Reserved."
9,"Gift of Four - Paisley and Dash 0 was successfully added to your cart. Shop 0 was successfully added to your cart. Shop Shop GiftboxStandard Gift of Four Gift of Four$41.00 Your choice of four delicious cupcake jars beautifully packaged in our signature box. Select your flavors below Product Quantity Scarlet Scarlet quantity Paisley Paisley quantity Dash Dash quantity Double Stuffed Double Stuffed quantity Clear selections Please select 4 items to continue… Gift of Four quantity Add to cart Categories: Giftbox, Standard Related products Check out some of our similar products Paisley Singles, Standard $12.00 Gift of One Giftbox, Standard $12.00 Paisley and Dash Half-Dozen Standard $53.00 Paisley and Dash Dozen Standard $99.00 Copyright © 2019 Milingona. All Rights Reserved."
