,Tokens,1,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149
0,robot,0,0,0,1,2,0,0,0,9,0,0,0,1,0,0,0,0,0,2,0,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,25,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,9,0,0,0
1,welders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,2,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,0,4,0,0,4
2,robot welders,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,virtual,0,0,9,2,0,0,0,0,20,0,0,17,1,0,0,2,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,1,0,0,0,0,0,114,0,0,0,5,1,1,0,0,0,0,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3,0,10,0,2,0,0,0,0,0,0,0,43,0,0,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,25,0,73,0,0,0,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,2,0,26,0,3,0,0,0,0,0,0,0,0,8,3,0,0,0,0
4,reality,0,0,9,0,0,0,0,0,2,0,0,30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,16,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,10,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,2,1,0,0,1,9,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
5,virtual reality,0,0,9,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,automation,0,0,0,0,11,2,0,0,2,0,0,2,0,0,0,0,0,0,2,0,10,0,0,0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,124,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,297,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,2,0,7,0
7,automated,0,0,1,5,3,0,0,0,17,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,8,0,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,6,1,0,0,0,0,0,0,0,4,0,0,0,0,1,0,2,0,0,0,0,0,0,4,0,0,10,0,0,0,0,0,0,0,7,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,1,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,5,0,0,0
8,research,0,0,2,7,0,0,0,0,23,0,0,6,0,0,0,1,0,0,0,0,1,0,0,0,79,0,0,13,3,1,0,40,0,2,0,2,2,0,0,0,0,0,2,0,3,10,0,0,0,0,0,0,127,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,6,0,0,0,1,0,0,0,0,5,49,0,1,0,0,0,0,0,79,0,0,0,0,1,0,3,0,0,0,1,0,2,0,0,0,100,0,0,0,0,0,8,0,0,11,2,0,0,0,2,0,1,0,3,0,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,10,4,0,0,0,0
9,design,0,0,1,52,24,41,0,0,348,0,0,558,18,37,18,8,2,0,57,1,7,79,2,0,25,0,55,4,41,0,95,48,16,1,1,11,16,0,0,1,10,1,3,0,16,46,11,14,4,57,0,49,5,1,280,1,37,187,3,14,9,53,7,2,0,6,2,0,17,0,13,1169,6,113,1,66,1,2,1,11,81,2,5,90,0,2,21,86,6,62,2,2,14,143,0,0,2,35,0,6,3,20,2,1,11,104,33,6,0,106,2,300,0,13,46,55,26,0,35,26,0,1,0,6,30,17,5,40,0,0,21,0,0,64,0,148,14,4488,56,0,1,23,14,0,528,38,1,1,10,36
10,development,0,0,0,8,27,4,0,0,70,0,0,3,0,1,0,4,0,0,2,0,2,76,0,0,56,0,0,7,2,2,11,59,0,2,0,9,4,0,0,0,0,0,0,1,18,6,1,0,0,0,0,0,192,0,1,2,0,5,0,0,0,0,0,1,0,0,0,0,0,3,2,2,0,5,3,0,0,0,1,6,3,0,0,113,1,0,0,1,1,0,0,0,77,0,0,0,0,1,3,0,1,0,0,1,2,3,3,1,0,104,1,26,2,0,1,7,0,0,3,2,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,2,0,3,0,0,3,2,0,40,4,0,0,0,0
